D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
16.0,35.0,37.0,52.0,54.0,33.0,2.78342691258518e-11,24.304753152016943,279,1.1034391512748108e-08,18.322248940330503,7.045905483405483e-08,16.468234078343347,423714,No,21.959890865201046,2006-03-11,0,0,0.03879581619039429,0.007475869297023189,0.022598950167255424,0.008343005121477459,0.023165819196422955,0.021972263166844176,0.0
1.0,5.0,7.0,21.0,43.0,20.0,7.651303725814494e-11,23.29355996794109,280,3.5723634553097006e-09,19.450038427901937,9.161913923818685e-08,16.205625643443682,384354,No,22.982276686406966,2006-03-08,0,0,0.03503659365835229,0.016294858502441553,0.004977447365602229,0.01263835119444465,0.05860728797724612,0.036350823285534316,0.0
13.0,22.0,27.0,52.0,55.0,26.0,5.120678392219924e-10,21.392564001185736,281,6.109849746332644e-08,16.610778562506155,5.847706997132284e-08,16.654631125849644,390199,No,20.335381964003997,2006-03-04,0,0,0.055039810385107274,0.04128506017208144,0.04272629348647472,0.008343005121477459,0.0189606037374947,0.033341701430732854,0.0
10.0,25.0,35.0,38.0,41.0,23.0,5.091249613394626e-09,19.095742532901184,282,3.6666637629899784e-08,17.12139855173424,4.493041177823786e-08,16.918150949022344,358507,No,20.77676659955126,2006-03-01,0,0,0.06489281970539651,0.03352497297802973,0.028122918451860164,0.04292530164894223,0.05396998144939077,0.03591974923988435,0.0
3.0,37.0,46.0,48.0,51.0,22.0,2.4691886695383655e-11,24.424546400125084,283,1.4542687946852995e-08,18.04617751625582,6.748731238527155e-08,16.511326221398143,369754,No,21.638904832170425,2006-02-25,0,0,0.04639989124151627,0.004771457939896616,0.004801476483243341,0.016999978035516228,0.03762569046637224,0.036314374514119584,0.0
9.0,23.0,47.0,53.0,55.0,39.0,1.474500534101168e-11,24.940116711436097,284,1.4158400335098744e-08,18.07295772574762,1.509501861366745e-07,15.706315947692802,317054,No,21.72893688213883,2006-02-22,0,0,0.06579244640801543,0.03899783802641332,0.003818098768432328,0.006773406377252264,0.0189606037374947,0.01171984626107841,0.0
15.0,17.0,43.0,44.0,48.0,29.0,7.695474326418932e-10,20.985218523689174,285,3.331440266471437e-08,17.21727602101268,5.652783430561208e-08,16.688532677525327,3917593,Yes,20.882629448015177,2006-02-18,1,15,0.04449854691281522,0.04557412192738386,0.008917019146498605,0.028502119205736337,0.05135665930901029,0.029072182575946685,0.0
3.0,13.0,35.0,39.0,40.0,37.0,1.5906862225817218e-09,20.259100327291563,286,8.66248979871389e-08,16.261678557074685,4.6548433645207836e-08,16.882772482657188,2195471,No,19.964063267510248,2006-02-15,0,0,0.04639989124151627,0.03945070251878546,0.028122918451860164,0.04133404460831715,0.05031125712922236,0.014858650074345068,0.0
7.0,38.0,40.0,51.0,52.0,14.0,3.6345802311136765e-11,24.037942398365963,287,1.4647911206587368e-08,18.038968091403923,5.219189246967024e-08,16.768338670793685,1619184,No,21.66248143754211,2006-02-11,0,0,0.06358344316457927,0.003741641237076566,0.014943678606317458,0.010151829657485616,0.0326335124416004,0.03085904014503339,0.0
14.0,25.0,32.0,48.0,54.0,10.0,5.696163239322186e-10,21.286058097652564,288,7.573414752590382e-08,16.396036688043132,2.1967504612736612e-08,17.633701538578528,1160159,No,20.098315337377677,2006-02-08,0,0,0.05000074878242976,0.03352497297802973,0.03583818531121881,0.016999978035516228,0.023165819196422955,0.02407661613364039,0.0
